date_creation,activite,nom,raison_sociale,commune,cp,adresse,dirigeant,siret,mois_ouverture
2026-05-27,Restauration rapide,CHKN HOUSE,CHKN HOUSE,Saint-Pierre-Les-Nemours,77140,9 IMPASSE DU CHEMIN DE FER 77140 SAINT-PIERRE-LES-NEMOURS,EDDY LOUIS ANDRE BERANGER,10562176700018,2
2026-05-23,Restauration rapide,DELICE EXPRESS,DELICE EXPRESS,Melun,77000,24 AVENUE DU GENERAL PATTON 77000 MELUN,MOHAMMAD JAHIDUL ISLAM,10687994300012,2
2026-05-19,Boulangerie-patisserie,LE FOURNIL DE MEKKAOUI,LE FOURNIL DE MEKKAOUI,Chartrettes,77590,54 RUE GEORGES CLEMENCEAU 77590 CHARTRETTES,ABDELNOR MEKKAOUI,10526660500010,2
2026-05-17,Traiteur,HADJAR HASSI,HADJAR HASSI,Vert-Saint-Denis,77240,10 RUE DES UZELLES 77240 VERT-SAINT-DENIS,HADJAR HASSI,92233834800027,2
2026-05-13,Traiteur,MARIA SAMBO (MARY ET  SAVEURS),MARIA SAMBO (MARY ET  SAVEURS),Moissy-Cramayel,77550,BATIMENT B APPARTEMENT B231 ETAGE 3 268 AVENUE DE L'EUROPE 77550 MOISSY-CRAMAYEL,MARIA LELO SAMBO,10539057900016,3
2026-05-05,Traiteur,VIVIEN DUFOND (DUFOND TRAITEUR EVENEMENTIEL),VIVIEN DUFOND (DUFOND TRAITEUR EVENEMENTIEL),Cesson,77240,APPARTEMENT D45 RESIDENCE STENDHAL 65 RUE DU GROS CAILLOU 77240 CESSON,VIVIEN DUFOND,53461858200033,3
2026-05-04,Restauration rapide,POULETOS BOIS,POULETOS BOIS,Cesson,77240,CENTRE COMMERCIAL BOIS SENART 77240 CESSON,YOUCEF TOUAHRIA,10337128200015,3
2026-05-01,Restauration rapide,CHICK N KORNER,CK BLO (CHICK N KORNER),Fontainebleau,77300,155 RUE GRANDE 77300 FONTAINEBLEAU,NICOLAS FERNANDES,10347337700010,3
2026-05-01,Traiteur,CAMILLE BONO (CAMILLE BONO TRAITEUR),CAMILLE BONO (CAMILLE BONO TRAITEUR),Chartrettes,77590,8 RUE MARIE CURIE 77590 CHARTRETTES,CAMILLE BONO,10360350200016,3
2026-05-01,Boulangerie-patisserie,BOULANGERIE BMH,BOULANGERIE BMH,Vaux-Le-Penil,77000,509 RUE DES 3 RODES 77000 VAUX-LE-PENIL,TAREK BEN MOHAMED HOUCINE BEN MABROUK,10366318300012,3
2026-04-21,Restauration rapide,ANTONIO ALVES DA SILVA,ANTONIO ALVES DA SILVA,Nonville,77140,27 RUE GRANDE 77140 NONVILLE,ANTONIO ALVES DA SILVA,48153366900075,3
2026-04-15,Traiteur,MAX SERRES,MAX SERRES,Villecerf,77250,12 RUE DE L'EGLISE 77250 VILLECERF,MAX HENRY GUY LOUIS SERRES,10140195800018,3
2026-04-14,Restaurant traditionnel,SHELBY'S BAR,100-TINELLE (100-TINELLE),Melun,77000,13 RUE JACQUES AMYOT 77000 MELUN,"AXEL MARC-ALAIN DEINE, POL VALERY GOBERT (ONG)",10383947800015,3
2026-04-13,Restauration rapide,LINDA BANZOULOU (CHICKEN DELICE),LINDA BANZOULOU (CHICKEN DELICE),Avon,77210,15 RUE DES PEUPLIERS 77210 AVON,LINDA EULOGE BANZOULOU,10352963200012,4
2026-04-13,Restauration rapide,OPHELIE CLARETO (CLARETO) (VEUX-TU MON BURGER ?),OPHELIE CLARETO (CLARETO) (VEUX-TU MON BURGER ?),Noisy-Sur-Ecole,77123,23 ROUTE DE NEMOURS 77123 NOISY-SUR-ECOLE,OPHELIE SOPHIE MAEVA CLARETO (CLARETO),10302898100019,4
2026-04-13,Bar / debit de boissons,MGLA BAR,MGLA BAR,Melun,77000,2 RUE PAUL EMILE VICTOR 77000 MELUN,DANIEL BAG,10197778300014,4
2026-04-10,Boulangerie-patisserie,MARIE BLACHERE,MB MILLY-LA-FORET,Milly-La-Foret,91490,1 RUE DU CHENET 91490 MILLY-LA-FORET,MALLAURIE FRIANT,10368504600015,4
2026-04-01,Restaurant traditionnel,HISTOIRE DE COEUR,HISTOIRE DE COEUR,Barbizon,77630,61 GRANDE RUE 77630 BARBIZON,JULIEN HENRI JEAN JAUSSAUD-LODATO (JAUSSAUD),10349055300015,4
2026-04-01,Restauration rapide,KOT NEMOURS,KOT NEMOURS,Nemours,77140,22 PLACE JEAN JAURES 77140 NEMOURS,"ILIAS BOUHADDOU, OSMAN CAN DEVECI",10259402500011,4
2026-04-01,Bar / debit de boissons,CAFE LE COMMERCE,JENNY CHEN,Maisse,91720,53 GRANDE RUE 91720 MAISSE,JENNY YUANYUAN CHEN,81835936600023,4
2026-03-30,Restauration rapide,ERIC KHAMMANIVANH (CROUTILL' NEMS),ERIC KHAMMANIVANH (CROUTILL' NEMS),Thomery,77810,15 PLACE EUGENE BEZOUT 77810 THOMERY,ERIC KHAMMANIVANH,10300938700012,4
2026-03-28,Restauration rapide,DHYLAN BITOUNTY SAMBA (UNCLE JOE),DHYLAN BITOUNTY SAMBA (UNCLE JOE),Melun,77000,52 RUE SAINT ASPAIS 77000 MELUN,DHYLAN PATHERNE BITOUNTY SAMBA,84117865000039,4
2026-03-26,Boulangerie-patisserie,SARL CELINE ET FRANCIS,SARL CELINE ET FRANCIS,Fontainebleau,77300,78 RUE PAUL JOZON 77300 FONTAINEBLEAU,FRANCIS ALFRED CAMILLE PAUL (PAUL),84002489700026,4
2026-03-26,Restaurant traditionnel,MAISON BEAUZAC,MAISON BEAUZAC,Bois-Le-Roi,77590,79 AVENUE GALLIENI 77590 BOIS-LE-ROI,VICTORIA VICTORIA ELENA LANREZAC,10297280900010,4
2026-03-26,Restauration rapide,RH FOOD PARIS 15EME,RH FOOD PARIS 15EME,Melun,77000,34 RUE SAINT BARTHELEMY 77000 MELUN,KENNEDY STEEVEN RAHERIMANANTSOA,92997836900023,4
2026-03-26,Restauration rapide,GARBA EXPRESS,GARBA EXPRESS,Melun,77000,3 T RUE DE PONTHIERRY 77000 MELUN,AMAN MARINA CAROLINE KOUADIO (SIKA),10317614500011,4
2026-03-20,Restaurant traditionnel,ELTIKA,ELTIKA,Fontainebleau,77300,25 PLACE NAPOLEON BONAPARTE 77300 FONTAINEBLEAU,KARINE VIRATELLE,10357032100010,4
2026-03-03,Restauration rapide,LMBC DISTRIBUTION,LMBC DISTRIBUTION,Fontainebleau,77300,5 RUE DENECOURT 77300 FONTAINEBLEAU,PASCAL BLESA,83047098500060,5
2026-03-01,Traiteur,HERVE POJER (RVP GOURMANDISES),HERVE POJER (RVP GOURMANDISES),Moissy-Cramayel,77550,210 RUE DE REAU 77550 MOISSY-CRAMAYEL,HERVÉ POJER,10167095800012,5
2026-03-01,Boulangerie-patisserie,CASA DO PASTL DE NATA,CASA DO PASTL DE NATA,Reau,77550,13 RUE FREDERIC SARAZIN 77550 REAU,RUI MARCELINO ROLO,10556632700018,5
2026-02-20,Restauration rapide,LA THEIERE AUX OISEAUX,LA THEIERE AUX OISEAUX,Moret-Loing-Et-Orvanne,77250,26 AVENUE JEAN JAURES 77250 MORET-LOING-ET-ORVANNE,SABINE PINSON (CHERON),10159104800018,5
2026-02-18,Restaurant traditionnel,LA SALAMANDRE,LA SALAMANDRE,Barbizon,77630,11 RUE DU GRAND CLEAU 77630 BARBIZON,"ARNAUD YOANN BESSE, KARINE MARTINE FRANCINE GODARD",82116336700039,5
2026-02-18,Restauration rapide,SHILA HAIDAR,SHILA HAIDAR,Vulaines-Sur-Seine,77870,CENTRE COMMERCIAL 44 ROUTE D'HERICY 77870 VULAINES-SUR-SEINE,"ABEL KHAING, SNC KHAING (SREEMOTI KAKULI)",10034469600024,5
2026-02-16,Restaurant traditionnel,MEDIA GRILLADE,MEDIA GRILLADE,Cesson,77240,CENTRE COMMERCIAL BOIS SENART 77240 CESSON,DAVUT BULBUL,10403991200019,5
2026-02-13,Restauration rapide,OCV 77,OCV 77,Moissy-Cramayel,77550,37 PLACE DU 14 JUILLET 1789 77550 MOISSY-CRAMAYEL,FAOUSI FAHIM,10142828200012,5
2026-02-10,Restaurant traditionnel,LE MONZA,LE MONZA,Fontainebleau,77300,10 RUE MONTEBELLO 77300 FONTAINEBLEAU,STEPHANIE GHISLAINE RAYMONDE JULIEN,95377812300026,6
2026-02-10,Traiteur,AUDRY MORITZ,AUDRY MORITZ,Thomery,77810,4 RUE DE MORET 77810 THOMERY,AUDRY MORITZ,10142953800016,6
2026-02-09,Boulangerie-patisserie,AUX DELICES DE LA BUTTE MONTCEAU,AUX DELICES DE LA BUTTE MONTCEAU,Avon,77210,CENTRE COMMERCIAL DE LA BUTTE MONTCEAU 77210 AVON,CLÉMÉNCE MARIA DE LOURDES LUCETTE OLIVEIRA SILVA,99946928100029,6
2026-02-04,Restaurant traditionnel,HASSIBA BERBACHE (MAISON KAMAL ELEGANCE SAVEURS CREATIONS),HASSIBA BERBACHE (MAISON KAMAL ELEGANCE SAVEURS CREATIONS),Avon,77210,3 RUE DES CHENES 77210 AVON,HASSIBA BERBACHE,10079314000011,6
2026-02-03,Restaurant traditionnel,LEON VSD,LEON VSD,Vert-Saint-Denis,77240,280 RUE DE L'EPINET 77240 VERT-SAINT-DENIS,,10098265100018,6
2026-02-02,Restauration rapide,LA MAISON LIBANAISE,LA MAISON LIBANAISE (LA MAISON LIBANAISE),Melun,77000,15 RUE RENE POUTEAU 77000 MELUN,ALI SAAD,10063151400013,6
2026-01-30,Restauration rapide,CHIKEN PIZZ,CHIKEN PIZZ,Melun,77000,8 RUE DU CHATEAU 77000 MELUN,CHARFI BELGHOUL,10026458900019,6
2026-01-27,Boulangerie-patisserie,AMS ZOTRINI,AMS ZOTRINI,Cesson,77240,CENTRE COMMERCIAL CESSON AVENUE DE LA ZIBELINE 77240 CESSON,ADNEN ZOTRINI,98910191000028,6
2026-01-26,Restauration rapide,MARC FONTYN (EUROPE SNACK),MARC FONTYN (EUROPE SNACK),Dammarie-Les-Lys,77190,189 RUE FRANCOIS LIPS 77190 DAMMARIE-LES-LYS,MARC PIERRE FONTYN,10033566000013,6
2026-01-21,Restauration rapide,SHILA HAIDAR,SHILA HAIDAR,Avon,77210,RESIDENCE LES FOUGERES BAT A2 ESC 42 27 AVENUE DU GENERAL DE GAULLE 77210 AVON,"ABEL KHAING, SNC KHAING (SREEMOTI KAKULI)",10034469600016,6
2026-01-19,Restaurant traditionnel,L'ERMITAGE SAINT ANTOINE,HUMM,Arbonne-La-Foret,77630,417 RUE DE LA LIBERATION 77630 ARBONNE-LA-FORET,STEPHAN HENRI MICHEL DELHOMMEL,51821010900022,6
2026-01-16,Restaurant traditionnel,CASA AZUL,CASA VICTORIA,Fontainebleau,77300,11 RUE DE LA CORNE 77300 FONTAINEBLEAU,FERNANDO GAMEZ AVILES,99942957400026,6
2026-01-16,Boulangerie-patisserie,BOULANGERIE DE LA MAIRIE,BOULANGERIE DE LA MAIRIE,Vaux-Le-Penil,77000,17 RUE DES ORMESSONS 77000 VAUX-LE-PENIL,"MOHAMED BOUSSABER, HOUCINE RACHED",10040895400012,6
2026-01-15,Restauration rapide,LES FRITES DE DEXTER,SIMON LANG (LES FRITES DE DEXTER),Moret-Loing-Et-Orvanne,77250,VENEUX LES SABLONS 1 B RUE MAURICE MARTIN 77250 MORET-LOING-ET-ORVANNE,SIMON LANG,92858211300033,6
2026-01-15,Traiteur,LUISA LETOURNEUR (LOTUS MAMA),LUISA LETOURNEUR (LOTUS MAMA),Noisy-Sur-Ecole,77123,9 LA CHESNAYE 77123 NOISY-SUR-ECOLE,LUISA LETOURNEUR,99951476300013,6
2026-01-15,Restauration rapide,LES PIZZAS DE CHARLY,LES PIZZAS DE CHARLY,Prunay-Sur-Essonne,91720,19 RUE DE L'ESSONNE 91720 PRUNAY-SUR-ESSONNE,CHARLES ROLAND PIERRE ROTA,10021960900011,6
2026-01-12,Traiteur,ZIFAM (BELLI DES LYS TRAITEUR),ZIFAM (BELLI DES LYS TRAITEUR),Fontainebleau,77300,76 RUE GRANDE 77300 FONTAINEBLEAU,WOLFGANG STANISLAS ZIEGLER,79888302100023,7
2026-01-02,Restauration rapide,CHAKER BELKHIRIA (CHAUD DEVANT 77),CHAKER BELKHIRIA (CHAUD DEVANT 77),Avon,77210,103 AVENUE DE NEMOURS 77210 AVON,CHAKER BELKHIRIA,99476828100010,7
2026-01-02,Bar / debit de boissons,ERIC DONG,ERIC DONG,Thomery,77810,5 PLACE GREFFULHE 77810 THOMERY,ERIC DONG,99443498300023,7
2026-01-02,Restauration rapide,PHO'NOMENAL,PHO'NOMENAL,Melun,77000,10 QUAI HIPPOLYTE ROSSIGNOL 77000 MELUN,TAI LE TRI NHAN,99983745300011,7
2026-01-01,Restauration rapide,OJAP & THAI (OJAP & THAI),OJAP & THAI (OJAP & THAI),Dammarie-Les-Lys,77190,58 RUE PIERRE CURIE 77190 DAMMARIE-LES-LYS,FAISSAL BELKAHLA,99470210800014,7
2026-01-01,Restauration rapide,OJAP & THAI (OJAP & THAI),OJAP & THAI (OJAP & THAI),Melun,77000,3 RUE ROSA BONHEUR 77000 MELUN,FAISSAL BELKAHLA,99470210800022,7
2026-01-01,Restauration rapide,CHEZ CLAUDINE,CHEZ CLAUDINE,Livry-Sur-Seine,77000,29 CHEMIN LATERAL 77000 LIVRY-SUR-SEINE,"ISAAC KAHONGO, MOÏSE KAHONGO",99975098700011,7
2026-01-01,Restauration rapide,PIZZA HOUSE (PIZZA HOUSE),PIZZA HOUSE (PIZZA HOUSE),Melun,77000,6 RUE SAINT ETIENNE 77000 MELUN,WESSIL ACHOURI,99498649500012,7
2025-12-17,Restaurant traditionnel,CYRAL ERMITAGE,CYRAL ERMITAGE,Barbizon,77630,51 GRANDE RUE 77630 BARBIZON,CYRINE JARRETIE,99430209900027,7
2025-12-16,Restauration rapide,CHOP NLG,CHOP NLG,Vert-Saint-Denis,77240,280 RUE DE L'EPINET 77240 VERT-SAINT-DENIS,", ",99528905500015,7
2025-12-15,Restaurant traditionnel,MAEL VILLERETTE (MAEL VILLERETTE),MAEL VILLERETTE (MAEL VILLERETTE),Avon,77210,44 B RUE REMY DUMONCEL 77210 AVON,MAEL VILLERETTE,99491175800013,7
2025-12-13,Restaurant traditionnel,GEORGE-ALIN TIMP,GEORGE-ALIN TIMP,Dammarie-Les-Lys,77190,88 88 RUE DE FORTOISEAU 77190 DAMMARIE-LES-LYS,GEORGE-ALIN TIMP,99512811300017,8
2025-12-04,Restauration rapide,GOUTE CA,GOUTE CA,Dammarie-Les-Lys,77190,546 AVENUE DU MARECHAL FOCH 77190 DAMMARIE-LES-LYS,SOFIANE OUDJAMAA,99496335300010,8
2025-12-04,Traiteur,EDUARDO PIRES DE MOURA (GUSTO BRASIL),EDUARDO PIRES DE MOURA (GUSTO BRASIL),Melun,77000,35 BOULEVARD ARISTIDE BRIAND 77000 MELUN,EDUARDO PIRES DE MOURA,99475649200017,8
2025-12-03,Restaurant traditionnel,THE CHATEAU (THE CHATEAU),THE CHATEAU (THE CHATEAU),Moissy-Cramayel,77550,CHATEAU DE LUGNY 243 RUE DES MARRONNIERS 77550 MOISSY-CRAMAYEL,NICOLE THAVIENNE,99527720900012,8
2025-12-01,Restauration rapide,DARAN FOOD,DARAN FOOD,Nemours,77140,13 RUE DE PARIS 77140 NEMOURS,DAN BENDAVID,99466556000011,8
2025-12-01,Restauration rapide,CASA H&H,CASA H&H,Melun,77000,4 RUE NOTRE DAME 77000 MELUN,HAMZA EL HAJJAJI,99265714800027,8
2025-12-01,Traiteur,FATOUMATA NDACK (DIOUARA),FATOUMATA NDACK (DIOUARA),Moissy-Cramayel,77550,CHEZ MARIAMA DIOUARA 251 RUE DU CANAL 77550 MOISSY-CRAMAYEL,FATOUMATA NDACK (DIOUARA),85109602400035,8
2025-11-25,Restaurant traditionnel,GREGOIRE PRINT (COLONEL OLIVE),GREGOIRE PRINT (COLONEL OLIVE),Vaux-Le-Penil,77000,7 ALLEE DES PERVENCHES 77000 VAUX-LE-PENIL,GRÉGOIRE WILFRIED JEAN-PHILIPPE PÉRINET,99429310800019,8
2025-11-24,Restaurant traditionnel,NAJLA ASMI (BOUZID),NAJLA ASMI (BOUZID),Nemours,77140,28 RUE RANCOGNE 77140 NEMOURS,NAJLA ASMI (BOUZID),94769067300027,8
2025-11-20,Restaurant traditionnel,CYRAL ERMITAGE,CYRAL ERMITAGE,Fromont,77760,20 RUE GRANDE 77760 FROMONT,CYRINE JARRETIE,99430209900019,8
2025-11-15,Restauration rapide,NASIDRA (WOODIZ),NASIDRA (WOODIZ),Melun,77000,9 RUE SAINT AMBROISE 77000 MELUN,SABER FATHI,99403079900013,8
2025-11-14,Restauration rapide,PRAVESH BANDHOO,PRAVESH BANDHOO,Avon,77210,1D RESID LES FOUGERES BAT A237 27 AVENUE DORION 77210 AVON,PRAVESH KUMAR BANDHOO,87983087500024,8
2025-11-12,Restauration rapide,BKO COFFEE ET SALON DE THE,BKO COFFEE ET SALON DE THE,Nemours,77140,6 RUE EUGENE THOISON 77140 NEMOURS,MAHAMET HAIDARA,10050633600013,9
2025-11-12,Restauration rapide,IMA EXPLOITATION,IMA EXPLOITATION,Dammarie-Les-Lys,77190,824 AVENUE DU LYS 77190 DAMMARIE-LES-LYS,,99393412400013,9
2025-11-10,Traiteur,SANAA LAMSSIAH (AIT MANSOUR) (SANAA & SAVEURS),SANAA LAMSSIAH (AIT MANSOUR) (SANAA & SAVEURS),Moissy-Cramayel,77550,15 CHEMIN DES SOCS 77550 MOISSY-CRAMAYEL,SANAA LAMSSIAH (AIT MANSOUR),99362243000011,9
2025-11-07,Restauration rapide,YUMMY HOUSE,BOUK,Fontainebleau,77300,80 RUE DE FRANCE 77300 FONTAINEBLEAU,BORIS YANN FABRE,99239264700028,9
2025-11-01,Restauration rapide,DDB VENTURE (HOLY SMASH),DDB VENTURE (HOLY SMASH),Fontainebleau,77300,1 RUE MARCEL LODS 77300 FONTAINEBLEAU,"ANISS BENCHARIF, JOSSELIN PAGES",99308447400010,9
2025-11-01,Restauration rapide,GIZEM GOCMEN (HEVAL.BAR),GIZEM GOCMEN (HEVAL.BAR),Melun,77000,17 RUE DU FOUR 77000 MELUN,GIZEM GOCMEN,99348618200013,9
2025-11-01,Restauration rapide,BRIGITTE MAMFOUKILA (NZAKA) (LES EPICES DE BRIGITTE  NATA-NATA),BRIGITTE MAMFOUKILA (NZAKA) (LES EPICES DE BRIGITTE  NATA-NATA),Melun,77000,10 RUE PAUL VALERY 77000 MELUN,BRIGITTE AIMEE MAMFOUKILA (NZAKA),99244288900018,9
2025-11-01,Traiteur,FIONA RODY (MAISON ROSE POUDREE),FIONA RODY (MAISON ROSE POUDREE),Melun,77000,47 RUE CLAUDIE HAIGNERE 77000 MELUN,FIONA MARTINE JOSSELINE RODY,99249836000013,9
2025-10-29,Restauration rapide,KOHLAN THAI & SUSHI (KOHLAN THAI & SUSHI),KOHLAN THAI & SUSHI (KOHLAN THAI & SUSHI),Melun,77000,3 T RUE DE PONTHIERRY 77000 MELUN,ABDELMONEM BOUDHAOUIA,99339610000014,9
2025-10-27,Restauration rapide,MOZZICO (MAMA & PAPA),MOZZICO (MAMA & PAPA),Fontainebleau,77300,2 RUE MONTEBELLO 77300 FONTAINEBLEAU,OLHA VOLODYMYRIVNA EINAUDI (SYDORENKO),99316054800018,9
2025-10-27,Bar / debit de boissons,L'OFFICE,BOEUF BLANC ROUGE (L'OFFICE),Fontainebleau,77300,115 RUE GRANDE 77300 FONTAINEBLEAU,BRICE SIREIX,85245587200048,9
2025-10-22,Restaurant traditionnel,ANDREA DOS SANTOS BRANDAO,ANDREA DOS SANTOS BRANDAO,Bois-Le-Roi,77590,32 B AVENUE CASTELLANI 77590 BOIS-LE-ROI,ANDRÉA DOS SANTOS BRANDAO,99317050500016,9
2025-10-22,Restaurant traditionnel,ALTIN,ALTIN,Nemours,77140,25 ROUTE DE MORET 77140 NEMOURS,KADIR ALTINPINAR,84399131600053,9
2025-10-21,Traiteur,VALENE CHARLES (DOUNE'S KITCHEN),VALENE CHARLES (DOUNE'S KITCHEN),Cesson,77240,30 RUE DE LA GARE 77240 CESSON,VALENE JODY CHARLES,99228263200015,9
2025-10-13,Restauration rapide,H&A STREET FOOD (MC BURGER),H&A STREET FOOD (MC BURGER),Vert-Saint-Denis,77240,25 AVENUE DU BOIS VERT 77240 VERT-SAINT-DENIS,"HAMZA ALIANI, ALHASSANE TRAORE",99273636300019,10
2025-10-10,Restaurant traditionnel,ELIZETH MAYINDOU (LA PETITE FLAMME),ELIZETH MAYINDOU (LA PETITE FLAMME),Dammarie-Les-Lys,77190,527 AVENUE JEAN JAURES 77190 DAMMARIE-LES-LYS,ELIZETH CENDRINE MAYINDOU,90309464700034,10
2025-10-08,Restaurant traditionnel,POULET BRAISE NEMOURS,POULET BRAISE NEMOURS,Nemours,77140,8 RUE EUGENE THOISON 77140 NEMOURS,MOHANRAJ SUNTHARALINGAM,99416379800014,10
2025-10-07,Restaurant traditionnel,S&F INVEST (LE LOUNY),S&F INVEST (LE LOUNY),Moret-Loing-Et-Orvanne,77250,16 RUE DES GRANGES 77250 MORET-LOING-ET-ORVANNE,"SÉBASTIEN NENY, FRÉDÉRIC SICOT",99270749700010,10
2025-10-07,Restauration rapide,LE CROUTON (LE CROUTON),LE CROUTON (LE CROUTON),Melun,77000,3 RUE DE L'EPERON 77000 MELUN,SOIREBA DIABY,97926709300024,10
2025-10-01,Restauration rapide,SIWA,SIWA,Fontainebleau,77300,2 RUE DE GRANDE BRETAGNE 77300 FONTAINEBLEAU,TAN DAT HUYNH,99178981900018,10
2025-10-01,Restauration rapide,MIAM O CLOCK,MIAM O CLOCK,Dammarie-Les-Lys,77190,451 AVENUE VICTOR HUGO 77190 DAMMARIE-LES-LYS,MERWAN AZIZ,99241996000016,10
2025-10-01,Restauration rapide,MIAM O CLOCK,MIAM O CLOCK,Dammarie-Les-Lys,77190,3 AVENUE DU MARECHAL FOCH 77190 DAMMARIE-LES-LYS,MERWAN AZIZ,99241996000024,10
2025-10-01,Restauration rapide,FABRICE LISIMA (LNG-LSM),FABRICE LISIMA (LNG-LSM),Vaux-Le-Penil,77000,144 SENTIER DES CHAMPS 77000 VAUX-LE-PENIL,FABRICE VICTOR LISIMA,49038107600036,10
2025-10-01,Restauration rapide,MERIEM LAGROUCH (MIBTAL) (CROUSTYCAR),MERIEM LAGROUCH (MIBTAL) (CROUSTYCAR),Melun,77000,CHEZ ASSOCIATION EQUALIS 30 AVENUE GEORGES POMPIDOU 77000 MELUN,MERIEM LAGROUCH (MIBTAL),88480602700022,10
2025-10-01,Restauration rapide,LE CROUTON (LE CROUTON),LE CROUTON (LE CROUTON),Vert-Saint-Denis,77240,29 ROUTE DEPARTEMENTALE 306 77240 VERT-SAINT-DENIS,SOIREBA DIABY,97926709300057,10
2025-10-01,Restauration rapide,KSB F&B (KAI SABAI),KSB F&B (KAI SABAI),Vert-Saint-Denis,77240,37-39 ROUTE DEPARTEMENTALE 306 77240 VERT-SAINT-DENIS,ALEXANDRE SOUMPHOLPHAKDY,98948223700025,10
2025-10-01,Restauration rapide,BUBBLE GLOBAL,BUBBLE GLOBAL,Vert-Saint-Denis,77240,37-39 ROUTE DEPARTEMENTALE 306 77240 VERT-SAINT-DENIS,,10016761800014,10
2025-09-26,Restaurant traditionnel,CLAIRE LAPORTE,CLAIRE LAPORTE,Larchant,77760,13 RUE DE PARIS 77760 LARCHANT,CLAIRE LAPORTE,99181278500012,10
2025-09-25,Restaurant traditionnel,RESTAURANT  SIGNATURE,RESTAURANT  SIGNATURE,Melun,77000,2 PLACE DE LA PREFECTURE 13 RUE SAINT BARTHELEMY 77000 MELUN,"MARIE EDITH MORDRET (CHOKOTIEU CHANKO), BLAISE MORDRET",99191759200016,10
2025-09-20,Restauration rapide,L'ATELIER DE LA PIZZA,L'ATELIER DE LA PIZZA,Perthes,77930,4 RUE DE MELUN 77930 PERTHES,VALENTIN POPELSKA,99190073900012,10
2025-09-20,Traiteur,EMMANUEL TANGHE (TANGHE TRAITEUR),EMMANUEL TANGHE (TANGHE TRAITEUR),Nemours,77140,35 QUAI VICTOR HUGO 77140 NEMOURS,EMMANUEL ROGER JEAN TANGHE,44277482400035,10
