categorie,nom,commune,tel,fb,km,kind
Fleuriste,Le Labo Flore,Bois le Roi,01 64 52 04 33,,7.8,florist
Fleuriste,Senteurs de l'Arcade,Champcueil,01 64 99 92 36,,22.6,florist
Fleuriste,Vert Tige,Saint-Pierre-lès-Nemours,01 64 78 06 11,,14.9,florist
Fromagerie,Crèmerie du Faubourg,Moret-Loing-et-Orvanne,01 60 70 12 28,,10.0,cheese
Fromagerie,Bergerie fontaine clairette,Nanteau-sur-Lunain,01 64 29 66 98,,19.4,cheese
Garage,Fillo auto,Bois-le-Roi,01 64 52 14 53,,7.2,car_repair
Garage,Garage du Rond Point,Dammarie-les-Lys,01 64 39 40 34,,13.4,car_repair
Garage,Campos Compétition,Le Mée-sur-Seine,06 18 66 71 84,,15.5,car_repair
Garage,Repareco,Melun,01 64 39 18 15,,14.3,car_repair
Garage,RVM,Montigny-sur-Loing,01 64 45 88 82,,8.3,car_repair
Garage,Garage Autos Maintenance,Ury,01 60 74 20 32,,10.0,car_repair
Garage,Pak Auto,Vaux-le-Pénil,01 64 19 07 67,,15.3,car_repair
Garage,Carosserie Garnier Gilbert,Vert-Saint-Denis,01 60 63 42 83,,19.3,car_repair
Garage,DMX Garage,Vert-Saint-Denis,01 64 37 92 90,,19.3,car_repair
Institut de beaute,Gypso Fil,Melun,01 64 39 29 07,,14.8,beauty
Institut de beaute,Tanao Spa,Saint-Pierre les Nemours,01 64 28 96 12,,14.9,beauty
Instruments de musique,Tempo,Melun,01 64 39 78 00,,15.4,musical_instrument
Jardinerie,Bernon Gaec,Saint-Germain-sur-École,01 64 38 01 01,,16.3,garden_centre
Jouets,Modélisme 77,Melun,01 64 39 24 58,,15.4,toys
Jouets,PokéLégende,Thomery,01 64 31 21 90,,6.2,toys
Librairie,Les Petits Papiers,Moret-Loing-et-Orvanne,01 60 70 22 14,,9.3,books
Librairie,La Parenthèse Café & Librairie,Samois-sur-Seine,01 64 70 68 93,oui,6.3,books
Macon,Maçonnerie Perrot,Milly-la-Forêt,01 64 98 83 93,,17.1,builder
Materiel medical,Sénart Medical Services,Melun,01 74 82 80 00,,16.2,medical_supply
Materiel medical,For Motion Orthopédie,Pringy,01 46 78 08 08,,16.3,medical_supply
Opticien,Optical Boissénart,Cesson,01 64 37 56 52,,21.7,optician
Opticien,Balouzat Opticiens,Melun,01 64 52 07 69,,15.1,optician
Opticien,Lemaire Optique,Melun,01 64 52 14 56,,15.3,optician
Opticien,Optique Saint-Pierre,Saint-Pierre les Nemours,01 64 28 15 18,,14.9,optician
Opticien,Balouzat Opticiens,Villiers-en-Bière,01 64 39 82 00,,13.7,optician
Pompes funebres,Bilbault Marbrerie,Moret-sur-Loing,01 60 70 51 43,,8.7,funeral_directors
Presse,Café du Viaduc,Avon,01 64 22 39 16,,2.0,newsagent
Pret-a-porter,Elliot James,Cesson,01 64 39 58 08,,21.7,clothes
Pret-a-porter,NC Fashion,Cesson,07 53 53 51 37,,21.6,clothes
Pret-a-porter,Toscane,Cesson,01 64 87 22 60,,21.8,clothes
Primeur,La ferme chaillotine,Chailly-en-Bière,07 57 06 67 65,,11.0,greengrocer
Produits fermiers,Ferme des Moënes,Ury,01 64 24 41 09,,10.0,farm
Restaurant,Dolce Pizza,Arbonne-la-Forêt,01 60 66 45 16,,10.2,restaurant
Restaurant,La Forêt - Chez Francis et Corinne,Arbonne-la-Forêt,01 64 14 04 45,,11.1,restaurant
Restaurant,Domaine du Magnat,Avon,01 64 22 39 56,,2.1,restaurant
Restaurant,L'Angelo,Barbizon,01 60 68 93 18,,8.3,restaurant
Restaurant,O Bout Barbizon,Barbizon,01 64 14 98 75,,8.1,restaurant
Restaurant,Le Milton Pub,Bois-le-Roi,01 64 52 36 92,,6.6,restaurant
Restaurant,Auberge Canard,Buthiers,01 64 24 11 79,,23.5,restaurant
Restaurant,Le Dragon du Soleil,Cesson,01 64 41 16 44,,21.8,restaurant
Restaurant,Mon Bistrot,Cesson,01 64 41 60 68,,21.7,restaurant
Restaurant,O'Charbon,Cesson,01 64 37 32 48,,21.6,restaurant
Restaurant,Pause Pizza,Champcueil,01 60 75 13 93,,22.6,restaurant
Restaurant,L'Auréline,Chevannes,01 64 99 70 12,,23.8,restaurant
Restaurant,La Celysienne,Cély,01 72 83 23 49,,13.6,restaurant
Restaurant,Meglio Pizza,Dammarie-les-Lys,09 87 35 01 44,,13.3,restaurant
Restaurant,Le petit Périchois,La Brosse-Montceaux,01 60 96 25 75,oui,24.8,restaurant
Restaurant,La Suite,La Chapelle-la-Reine,01 64 24 30 06,,13.7,restaurant
Restaurant,La cantine des grands,La Rochette,01 64 37 94 09,,13.4,restaurant
Restaurant,Au Bonheur du Goût,Melun,01 64 37 30 53,,14.9,restaurant
Restaurant,Chez Loulou,Melun,01 64 87 03 03,,14.7,restaurant
Restaurant,Félicita,Melun,01 64 39 71 16,,14.9,restaurant
Restaurant,L'Orchidée,Melun,09 83 05 38 83,,14.8,restaurant
Restaurant,Les canailles,Melun,01 60 66 45 79,,15.3,restaurant
Restaurant,MaMé,Melun,06 63 92 58 62,,15.3,restaurant
Restaurant,Mont Everest,Melun,01 64 38 92 09,,15.2,restaurant
Restaurant,Tonton Grill,Melun,09 83 39 65 39,,15.9,restaurant
Restaurant,Ô'Jap,Melun,09 84 10 03 34,oui,14.0,restaurant
Restaurant,La Crêperie de Milly,Milly-la-Forêt,01 64 98 63 49,,17.1,restaurant
Restaurant,CHABADA,Montcourt-Fromonville,01 64 28 76 83,,10.6,restaurant
Restaurant,Crispy sushi & wok,Montereau-Fault-Yonne,01 64 31 26 42,,18.8,restaurant
Restaurant,Tonton Grill,Montereau-Fault-Yonne,06 26 14 61 81,,18.9,restaurant
Restaurant,L'Eski,Moret-Loing-et-Orvanne,01 60 70 86 65,,9.3,restaurant
Restaurant,Le Tendance MSL,Moret-Loing-et-Orvanne,01 64 23 64 67,,9.4,restaurant
Restaurant,Au Fil de L'O,Morsang-sur-Seine,01 64 93 81 09,,23.8,restaurant
Restaurant,Chez Pin,Nemours,01 64 29 29 29,,15.3,restaurant
Restaurant,Le Délice de la Goulette,Nemours,01 64 28 88 40,,15.2,restaurant
Restaurant,Pavillon Hugo,Nemours,09 86 57 94 86,,15.7,restaurant
Restaurant,Royal Garden. Restaurant Asiatique,Nemours,01 64 78 79 97,,13.8,restaurant
Restaurant,BOR & GINI,Pringy,01 60 65 74 10,,17.7,restaurant
Restaurant,Wok N Co,Pringy,01 60 65 19 77,oui,17.7,restaurant
Restaurant,La Dérive,Samois-sur-Seine,06 68 09 49 73,,6.6,restaurant
Restaurant,L’Essentiel,Samois-sur-Seine,01 64 23 85 10,,6.3,restaurant
Restaurant,Le Petit Cèdre,Samoreau,01 64 23 93 85,,4.9,restaurant
Restaurant,Le Colimaçon,Seine-Port,01 60 63 24 08,,20.4,restaurant
Restaurant,Le Saut du Postillon,Soisy-sur-École,01 64 98 08 12,,19.1,restaurant
Restaurant,Le Petit Fossard,Varennes-sur-Seine,01 60 72 37 74,oui,19.4,restaurant
Restaurant,Four du Chef,Vaux-le-Pénil,09 80 73 68 18,,13.4,restaurant
Restaurant,Le Kampot 77,Vert-Saint-Denis,01 64 39 17 82,,19.1,restaurant
Restauration rapide,S'mix,Cesson,01 64 19 90 58,,18.9,fast_food
Restauration rapide,Restaurant EZO,Dammarie-les-Lys,01 64 87 14 55,,13.3,fast_food
Restauration rapide,Antalya,Melun,01 60 66 82 74,,15.3,fast_food
Restauration rapide,Chicken Time's,Melun,01 60 66 49 24,,16.5,fast_food
Restauration rapide,Food Burger,Melun,07 68 07 47 00,,15.9,fast_food
Restauration rapide,O'dwich,Melun,01 75 18 29 02,,16.1,fast_food
Restauration rapide,sweet burger,Melun,01 64 52 98 55,,15.8,fast_food
Restauration rapide,Don Camillo,Milly-la-Forêt,01 64 98 76 16,,17.1,fast_food
Restauration rapide,Chez Li Traiteur,Moret-Loing-et-Orvanne,09 73 53 84 37,,9.3,fast_food
Restauration rapide,Il Teatro,Saint-Fargeau-Ponthierry,01 64 38 10 95,,17.9,fast_food
Restauration rapide,Istanbul Kebab House,Savigny-le-Temple,09 80 48 29 14,,23.1,fast_food
Retoucherie,Retoucherie de Moret,Moret-Loing-et-Orvanne,01 60 74 40 68,,9.5,tailor
Serrurier,Taveaux Fermetures,Andrezel,01 64 20 12 12,,24.6,locksmith
Tabac,Farg Echos,Saint-Fargeau-Ponthierry,01 64 09 84 21,,21.1,tobacco
Tatouage,Inkognito,Melun,06 58 81 15 51,oui,15.7,tattoo
Traiteur,L'Atelier des Douceurs,Bois-le-Roi,01 60 69 60 93,,7.9,caterer
Vitrerie,MSV Fermeture,Champdeuil,06 29 71 49 66,,24.2,glaziery
